movie_title,genres,production_budget,worldwide_gross,Revenue,domestic_gross,start_year,release_date,runtime_minutes,averagerating,numvotes
Inception,"Action,Adventure,Sci-Fi",160000000.0,835524642.0,675524642.0,292576195.0,2010,16-07-2010,148.0,8.8,1841066
The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",160000000.0,648986787.0,488986787.0,281723902.0,2015,20-11-2015,137.0,6.6,252384
Godzilla,"Action,Adventure,Sci-Fi",160000000.0,529076069.0,369076069.0,200676069.0,2014,16-05-2014,123.0,6.4,350687
Godzilla,"Action,Adventure,Sci-Fi",125000000.0,376000000.0,251000000.0,136314294.0,2014,19-05-1998,123.0,6.4,350687
X-Men: First Class,"Action,Adventure,Sci-Fi",160000000.0,355408305.0,195408305.0,146408305.0,2011,03-06-2011,131.0,7.7,608930
The Sorcerer's Apprentice,"Action,Adventure,Family",160000000.0,217986320.0,57986320.0,63150991.0,2010,14-07-2010,109.0,6.1,143862
Warcraft,"Action,Adventure,Fantasy",160000000.0,425522281.0,265522281.0,47225655.0,2016,10-06-2016,123.0,6.9,225557
Deepwater Horizon,"Action,Drama,History",156000000.0,122603824.0,-33396176.0,61433527.0,2016,30-09-2016,107.0,7.1,133303
The Chronicles of Narnia: The Voyage of the Dawn Treader,"Adventure,Family,Fantasy",155000000.0,418186950.0,263186950.0,104386950.0,2010,10-12-2010,113.0,6.3,129663
Pacific Rim: Uprising,"Action,Adventure,Sci-Fi",155000000.0,290930148.0,135930148.0,59874525.0,2018,23-03-2018,111.0,5.6,89462
War for the Planet of the Apes,"Action,Adventure,Drama",152000000.0,489592267.0,337592267.0,146880162.0,2017,14-07-2017,140.0,7.5,201943
Wonder Woman,"Action,Adventure,Fantasy",150000000.0,821133378.0,671133378.0,412563408.0,2017,02-06-2017,141.0,7.5,487527
Wonder Woman,Sci-Fi,150000000.0,821133378.0,671133378.0,412563408.0,2014,02-06-2017,60.0,4.2,20
Wonder Woman,"Documentary,Drama,Sport",150000000.0,821133378.0,671133378.0,412563408.0,2016,02-06-2017,75.0,6.9,13
Frozen,"Adventure,Drama,Sport",150000000.0,1272469910.0,1122469910.0,400738009.0,2010,22-11-2013,93.0,6.2,62311
Frozen,"Fantasy,Romance",150000000.0,1272469910.0,1122469910.0,400738009.0,2010,22-11-2013,92.0,5.4,75
Frozen,"Adventure,Animation,Comedy",150000000.0,1272469910.0,1122469910.0,400738009.0,2013,22-11-2013,102.0,7.5,516998
Zootopia,"Adventure,Animation,Comedy",150000000.0,1019429616.0,869429616.0,341268248.0,2016,04-03-2016,108.0,8.0,383446
Moana,"Adventure,Animation,Comedy",150000000.0,637517365.0,487517365.0,248757044.0,2016,23-11-2016,107.0,7.6,224253
Thor: The Dark World,"Action,Adventure,Fantasy",150000000.0,644602516.0,494602516.0,206362140.0,2013,08-11-2013,112.0,6.9,540996
Dunkirk,"Action,Drama,History",150000000.0,499837368.0,349837368.0,190068280.0,2017,21-07-2017,106.0,7.9,466580
Thor,"Action,Adventure,Fantasy",150000000.0,449326618.0,299326618.0,181030624.0,2011,06-05-2011,115.0,7.0,683264
Kung Fu Panda 2,"Action,Adventure,Animation",150000000.0,664837547.0,514837547.0,165249063.0,2011,26-05-2011,90.0,7.2,228465
Mad Max: Fury Road,"Action,Adventure,Sci-Fi",150000000.0,370098020.0,220098020.0,153636354.0,2015,15-05-2015,120.0,8.1,780910
Ready Player One,"Action,Adventure,Sci-Fi",150000000.0,579290136.0,429290136.0,137690172.0,2018,29-03-2018,140.0,7.5,301660
The Last Airbender,"Action,Adventure,Family",150000000.0,319713881.0,169713881.0,131772187.0,2010,01-07-2010,103.0,4.1,137734
Wrath of the Titans,"Action,Adventure,Fantasy",150000000.0,305270083.0,155270083.0,83670083.0,2012,30-03-2012,99.0,5.7,172330
Dark Shadows,"Comedy,Fantasy,Horror",150000000.0,238202668.0,88202668.0,79727149.0,2012,11-05-2012,113.0,6.2,229818
White House Down,"Action,Drama,Thriller",150000000.0,205440387.0,55440387.0,73103784.0,2013,28-06-2013,131.0,6.4,191791
The Wolfman,"Drama,Fantasy,Horror",150000000.0,142634358.0,-7365642.0,62189884.0,2010,12-02-2010,103.0,5.8,97873
The Great Wall,"Action,Adventure,Fantasy",150000000.0,334486852.0,184486852.0,45157105.0,2016,17-02-2017,103.0,6.0,111602
The Great Wall,Documentary,150000000.0,334486852.0,184486852.0,45157105.0,2017,17-02-2017,72.0,6.5,24
Pan,"Adventure,Comedy,Family",150000000.0,151525973.0,1525973.0,35088320.0,2015,09-10-2015,111.0,5.8,55867
Mars Needs Moms,"Adventure,Animation,Family",150000000.0,39549758.0,-110450242.0,21392758.0,2011,11-03-2011,88.0,5.4,19823
Madagascar 3: Europe's Most Wanted,"Adventure,Animation,Comedy",145000000.0,746921271.0,601921271.0,216391482.0,2012,08-06-2012,93.0,6.8,146858
How to Train Your Dragon 2,"Action,Adventure,Animation",145000000.0,614586270.0,469586270.0,177002924.0,2014,13-06-2014,102.0,7.8,278205
Tarzan,"Adventure,Animation,Drama",145000000.0,448191819.0,303191819.0,171091819.0,2013,16-06-1999,94.0,4.8,11728
Mr. Peabody & Sherman,"Adventure,Animation,Comedy",145000000.0,269806430.0,124806430.0,111506430.0,2014,07-03-2014,92.0,6.8,57277
Rise of the Guardians,"Action,Adventure,Animation",145000000.0,306900902.0,161900902.0,103412758.0,2012,21-11-2012,97.0,7.3,145281
Sahara,"Adventure,Animation,Comedy",145000000.0,121671925.0,-23328075.0,68671925.0,2017,08-04-2005,86.0,5.6,1943
Ghostbusters,"Action,Comedy,Fantasy",144000000.0,229008658.0,85008658.0,128350574.0,2016,15-07-2016,116.0,5.2,186788
Ghostbusters,"Action,Comedy,Fantasy",30000000.0,295212467.0,265212467.0,242212467.0,2016,08-06-1984,116.0,5.2,186788
Captain America: The First Avenger,"Action,Adventure,Sci-Fi",140000000.0,370569776.0,230569776.0,176654505.0,2011,22-07-2011,124.0,6.9,668137
Kung Fu Panda 3,"Action,Adventure,Animation",140000000.0,517599142.0,377599142.0,143528619.0,2016,29-01-2016,95.0,7.1,116166
G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",140000000.0,375740705.0,235740705.0,122523060.0,2013,27-03-2013,110.0,5.8,165536
Exodus: Gods and Kings,"Action,Adventure,Drama",140000000.0,268314513.0,128314513.0,65014513.0,2014,12-12-2014,150.0,6.0,150858
The BFG,"Adventure,Family,Fantasy",140000000.0,199646680.0,59646680.0,55483770.0,2016,01-07-2016,117.0,6.4,69340
Gods of Egypt,"Action,Adventure,Fantasy",140000000.0,138836756.0,-1163244.0,31153464.0,2016,26-02-2016,127.0,5.4,95111
The Croods,"Action,Adventure,Animation",135000000.0,573068425.0,438068425.0,187168425.0,2013,22-03-2013,98.0,7.2,176699
The Revenant,"Action,Adventure,Biography",135000000.0,532938302.0,397938302.0,183637894.0,2015,25-12-2015,156.0,8.0,621193
The Revenant,Horror,135000000.0,532938302.0,397938302.0,183637894.0,2012,25-12-2015,80.0,6.0,20
Rango,"Adventure,Animation,Comedy",135000000.0,245724600.0,110724600.0,123477607.0,2011,04-03-2011,107.0,7.2,215761
Turbo,"Adventure,Animation,Comedy",135000000.0,286896578.0,151896578.0,83028130.0,2013,17-07-2013,96.0,6.4,74639
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",135000000.0,245328374.0,110328374.0,82051601.0,2016,03-06-2016,112.0,6.0,77234
Happy Feet Two,"Adventure,Animation,Comedy",135000000.0,157956466.0,22956466.0,64006466.0,2011,18-11-2011,100.0,5.9,38396
The Nutcracker and the Four Realms,"Adventure,Family,Fantasy",132900000.0,170293899.0,37393899.0,54858851.0,2018,02-11-2018,99.0,5.5,18734
War of the Worlds,Sci-Fi,132000000.0,606836535.0,474836535.0,234280354.0,2013,29-06-2005,50.0,5.8,11
Penguins of Madagascar,"Adventure,Animation,Comedy",132000000.0,366942531.0,234942531.0,83350911.0,2014,26-11-2014,92.0,6.7,72551
The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi",130000000.0,864868047.0,734868047.0,424668047.0,2013,22-11-2013,146.0,7.5,575455
Ant-Man and the Wasp,"Action,Adventure,Comedy",130000000.0,623144660.0,493144660.0,216648740.0,2018,06-07-2018,118.0,7.1,244024
Ant-Man,"Action,Adventure,Comedy",130000000.0,518858449.0,388858449.0,180202163.0,2015,17-07-2015,117.0,7.3,501213
Home,Drama,130000000.0,385997896.0,255997896.0,177397510.0,2011,27-03-2015,76.0,6.0,96
Home,Drama,130000000.0,385997896.0,255997896.0,177397510.0,2011,27-03-2015,127.0,7.5,1049
Home,"Adventure,Animation,Comedy",130000000.0,385997896.0,255997896.0,177397510.0,2015,27-03-2015,94.0,6.6,85831
Home,"Drama,Romance",130000000.0,385997896.0,255997896.0,177397510.0,2013,27-03-2015,90.0,6.8,306
Home,Drama,130000000.0,385997896.0,255997896.0,177397510.0,2013,27-03-2015,112.0,7.0,140
Home,"Drama,Horror,Thriller",130000000.0,385997896.0,255997896.0,177397510.0,2016,27-03-2015,87.0,3.9,303
Home,Drama,130000000.0,385997896.0,255997896.0,177397510.0,2016,27-03-2015,103.0,7.2,811
Home,"Drama,Romance,Thriller",130000000.0,385997896.0,255997896.0,177397510.0,2018,27-03-2015,71.0,8.4,32
Home,Drama,12000000.0,0.0,-12000000.0,0.0,2011,05-06-2009,76.0,6.0,96
Home,Drama,12000000.0,0.0,-12000000.0,0.0,2011,05-06-2009,127.0,7.5,1049
Home,"Adventure,Animation,Comedy",12000000.0,0.0,-12000000.0,0.0,2015,05-06-2009,94.0,6.6,85831
Home,"Drama,Romance",12000000.0,0.0,-12000000.0,0.0,2013,05-06-2009,90.0,6.8,306
Home,Drama,12000000.0,0.0,-12000000.0,0.0,2013,05-06-2009,112.0,7.0,140
Home,"Drama,Horror,Thriller",12000000.0,0.0,-12000000.0,0.0,2016,05-06-2009,87.0,3.9,303
Home,Drama,12000000.0,0.0,-12000000.0,0.0,2016,05-06-2009,103.0,7.2,811
Home,"Drama,Romance,Thriller",12000000.0,0.0,-12000000.0,0.0,2018,05-06-2009,71.0,8.4,32
Home,Drama,500000.0,44793168.0,44293168.0,15433.0,2011,23-04-2009,76.0,6.0,96
Home,Drama,500000.0,44793168.0,44293168.0,15433.0,2011,23-04-2009,127.0,7.5,1049
Home,"Adventure,Animation,Comedy",500000.0,44793168.0,44293168.0,15433.0,2015,23-04-2009,94.0,6.6,85831
Home,"Drama,Romance",500000.0,44793168.0,44293168.0,15433.0,2013,23-04-2009,90.0,6.8,306
Home,Drama,500000.0,44793168.0,44293168.0,15433.0,2013,23-04-2009,112.0,7.0,140
Home,"Drama,Horror,Thriller",500000.0,44793168.0,44293168.0,15433.0,2016,23-04-2009,87.0,3.9,303
